year;state;state_po;state_fips;state_cen;state_ic;district;office;stage;runoff;special;candidate;party;writein;mode;candidatevotes;winner;totalvotes;unofficial;version;fips;
2018;California;CA;6;93;71;601;US House;gen;NA;FALSE;Doug La Malfa;republican;FALSE;total;160046;TRUE;291594;FALSE;20200424;693711;
2018;California;CA;6;93;71;602;US House;gen;NA;FALSE;Jared Huffman;democrat;FALSE;total;243081;TRUE;315657;FALSE;20200424;693712;
2018;California;CA;6;93;71;603;US House;gen;NA;FALSE;John Garamendi;democrat;FALSE;total;134875;TRUE;232251;FALSE;20200424;693713;
2018;California;CA;6;93;71;604;US House;gen;NA;FALSE;Tom McClintock;republican;FALSE;total;184401;TRUE;340654;FALSE;20200424;693714;
2018;California;CA;6;93;71;605;US House;gen;NA;FALSE;Mike Thompson;democrat;FALSE;total;205860;TRUE;261018;FALSE;20200424;693715;
2018;California;CA;6;93;71;606;US House;gen;NA;FALSE;Doris Matsui;democrat;FALSE;total;162411;TRUE;201939;FALSE;20200424;693716;
2018;California;CA;6;93;71;607;US House;gen;NA;FALSE;Ami Bera;democrat;FALSE;total;155016;TRUE;281617;FALSE;20200424;693717;
2018;California;CA;6;93;71;608;US House;gen;NA;FALSE;Paul Cook;republican;FALSE;total;102415;TRUE;170785;FALSE;20200424;693718;
2018;California;CA;6;93;71;609;US House;gen;NA;FALSE;Jerry McNerney;democrat;FALSE;total;113414;TRUE;200763;FALSE;20200424;693719;
2018;California;CA;6;93;71;610;US House;gen;NA;FALSE;Josh Harder;democrat;FALSE;total;115945;TRUE;221900;FALSE;20200424;6937110;
2018;California;CA;6;93;71;611;US House;gen;NA;FALSE;Mark DeSaulnier;democrat;FALSE;total;204369;TRUE;275681;FALSE;20200424;6937111;
2018;California;CA;6;93;71;612;US House;gen;NA;FALSE;Nancy Pelosi;democrat;FALSE;total;275292;TRUE;317072;FALSE;20200424;6937112;
2018;California;CA;6;93;71;613;US House;gen;NA;FALSE;Barbara Lee;democrat;FALSE;total;260580;TRUE;294837;FALSE;20200424;6937113;
2018;California;CA;6;93;71;614;US House;gen;NA;FALSE;Jackie Speier;democrat;FALSE;total;211384;TRUE;266823;FALSE;20200424;6937114;
2018;California;CA;6;93;71;615;US House;gen;NA;FALSE;Eric Swalwell;democrat;FALSE;total;177989;TRUE;243929;FALSE;20200424;6937115;
2018;California;CA;6;93;71;616;US House;gen;NA;FALSE;Jim Costa;democrat;FALSE;total;82266;TRUE;142959;FALSE;20200424;6937116;
2018;California;CA;6;93;71;617;US House;gen;NA;FALSE;Ro Khanna;democrat;FALSE;total;159105;TRUE;211162;FALSE;20200424;6937117;
2018;California;CA;6;93;71;618;US House;gen;NA;FALSE;Anna G. Eshoo;democrat;FALSE;total;225142;TRUE;302238;FALSE;20200424;6937118;
2018;California;CA;6;93;71;619;US House;gen;NA;FALSE;Zoe Lofgren;democrat;FALSE;total;162496;TRUE;220319;FALSE;20200424;6937119;
2018;California;CA;6;93;71;620;US House;gen;NA;FALSE;Jimmy Panetta;democrat;FALSE;total;183677;TRUE;225721;FALSE;20200424;6937120;
2018;California;CA;6;93;71;621;US House;gen;NA;FALSE;TJ Cox;democrat;FALSE;total;57239;TRUE;113616;FALSE;20200424;6937121;
2018;California;CA;6;93;71;622;US House;gen;NA;FALSE;Devin G. Nunes;republican;FALSE;total;117243;TRUE;222379;FALSE;20200424;6937122;
2018;California;CA;6;93;71;623;US House;gen;NA;FALSE;Kevin McCarthy;republican;FALSE;total;131113;TRUE;205774;FALSE;20200424;6937123;
2018;California;CA;6;93;71;624;US House;gen;NA;FALSE;Salud Carbajal;democrat;FALSE;total;166550;TRUE;284431;FALSE;20200424;6937124;
2018;California;CA;6;93;71;625;US House;gen;NA;FALSE;Katie Hill;democrat;FALSE;total;133209;TRUE;245022;FALSE;20200424;6937125;
2018;California;CA;6;93;71;626;US House;gen;NA;FALSE;Julia Brownley;democrat;FALSE;total;158216;TRUE;255426;FALSE;20200424;6937126;
2018;California;CA;6;93;71;627;US House;gen;NA;FALSE;Judy Chu;democrat;FALSE;total;160504;TRUE;202636;FALSE;20200424;6937127;
2018;California;CA;6;93;71;628;US House;gen;NA;FALSE;Adam B. Schiff;democrat;FALSE;total;196662;TRUE;250934;FALSE;20200424;6937128;
2018;California;CA;6;93;71;629;US House;gen;NA;FALSE;Tony Cardenas;democrat;FALSE;total;124697;TRUE;154692;FALSE;20200424;6937129;
2018;California;CA;6;93;71;630;US House;gen;NA;FALSE;Brad Sherman;democrat;FALSE;total;191573;TRUE;260993;FALSE;20200424;6937130;
2018;California;CA;6;93;71;631;US House;gen;NA;FALSE;Pete Aguilar;democrat;FALSE;total;110143;TRUE;187495;FALSE;20200424;6937131;
2018;California;CA;6;93;71;632;US House;gen;NA;FALSE;Grace Flores Napolitano;democrat;FALSE;total;121759;TRUE;177031;FALSE;20200424;6937132;
2018;California;CA;6;93;71;633;US House;gen;NA;FALSE;Ted W. Lieu;democrat;FALSE;total;219091;TRUE;312860;FALSE;20200424;6937133;
2018;California;CA;6;93;71;634;US House;gen;NA;FALSE;Jimmy Gomez;democrat;FALSE;total;110195;TRUE;151906;FALSE;20200424;6937134;
2018;California;CA;6;93;71;635;US House;gen;NA;FALSE;Norma J. Torres;democrat;FALSE;total;103420;TRUE;149024;FALSE;20200424;6937135;
2018;California;CA;6;93;71;636;US House;gen;NA;FALSE;Raul Ruiz;democrat;FALSE;total;122169;TRUE;207008;FALSE;20200424;6937136;
2018;California;CA;6;93;71;637;US House;gen;NA;FALSE;Karen Bass;democrat;FALSE;total;210555;TRUE;236378;FALSE;20200424;6937137;
2018;California;CA;6;93;71;638;US House;gen;NA;FALSE;Linda T. Sanchez;democrat;FALSE;total;139188;TRUE;202156;FALSE;20200424;6937138;
2018;California;CA;6;93;71;639;US House;gen;NA;FALSE;Gil Cisneros;democrat;FALSE;total;126002;TRUE;244393;FALSE;20200424;6937139;
2018;California;CA;6;93;71;640;US House;gen;NA;FALSE;Lucille Roybal-Allard;democrat;FALSE;total;93938;TRUE;121449;FALSE;20200424;6937140;
2018;California;CA;6;93;71;641;US House;gen;NA;FALSE;Mark Takano;democrat;FALSE;total;108227;TRUE;166248;FALSE;20200424;6937141;
2018;California;CA;6;93;71;642;US House;gen;NA;FALSE;Ken Calvert;republican;FALSE;total;131040;TRUE;231932;FALSE;20200424;6937142;
2018;California;CA;6;93;71;643;US House;gen;NA;FALSE;Maxine Waters;democrat;FALSE;total;152272;TRUE;196052;FALSE;20200424;6937143;
2018;California;CA;6;93;71;644;US House;gen;NA;FALSE;Nanette Diaz Barragan;democrat;FALSE;total;97944;TRUE;143322;FALSE;20200424;6937144;
2018;California;CA;6;93;71;645;US House;gen;NA;FALSE;Katie Porter;democrat;FALSE;total;158906;TRUE;305289;FALSE;20200424;6937145;
2018;California;CA;6;93;71;646;US House;gen;NA;FALSE;Lou Correa;democrat;FALSE;total;102278;TRUE;147916;FALSE;20200424;6937146;
2018;California;CA;6;93;71;647;US House;gen;NA;FALSE;Alan Lowenthal;democrat;FALSE;total;143354;TRUE;221036;FALSE;20200424;6937147;
2018;California;CA;6;93;71;648;US House;gen;NA;FALSE;Harley Rouda;democrat;FALSE;total;157837;TRUE;294736;FALSE;20200424;6937148;
2018;California;CA;6;93;71;649;US House;gen;NA;FALSE;Mike Levin;democrat;FALSE;total;166453;TRUE;295030;FALSE;20200424;6937149;
2018;California;CA;6;93;71;650;US House;gen;NA;FALSE;Duncan Hunter;republican;FALSE;total;134362;TRUE;259810;FALSE;20200424;6937150;
2018;California;CA;6;93;71;651;US House;gen;NA;FALSE;Juan Vargas;democrat;FALSE;total;109527;TRUE;153828;FALSE;20200424;6937151;
2018;California;CA;6;93;71;652;US House;gen;NA;FALSE;Scott Peters;democrat;FALSE;total;188992;TRUE;296007;FALSE;20200424;6937152;
